rho,betak1,wbetak1,Lk1,wLk1,gammak1,wgammak1,betak2,wbetak2,Lk2,wLk2,gammak2,wgammak2,psii1,wpsii1,Li1,wLi1,gammai1,wgammai1,psii2,wpsii2,Li2,wLi2,gammai2,wgammai2,psii3,wpsii3,Li3,wLi3,gammai3,wgammai3,psii4,wpsii4,Li4,wLi4,gammai4,wgammai4,psii5,wpsii5,Li5,wLi5,gammai5,wgammai5,psii6,wpsii6,Li6,wLi6,gammai6,wgammai6,psii7,wpsii7,Li7,wLi7,gammai7,wgammai7,psii8,wpsii8,Li8,wLi8,gammai8,wgammai8,psii9,wpsii9,Li9,wLi9,gammai9,wgammai9,psii10,wpsii10,Li10,wLi10,gammai10,wgammai10,beta,wbeta,eta,weta,L,wL,gamma,wgamma
2.000000e-01,0.000000e+00,0.000000e+00,4.489365e-01,4.568727e-05,8.910184e-01,9.072175e-05,0.000000e+00,0.000000e+00,1.974948e+00,2.395674e-04,8.101787e-01,9.819858e-05,8.694161e-01,2.173883e-05,1.468360e-01,2.914542e-05,8.893359e-01,5.240436e-05,8.688045e-01,2.279397e-05,1.478057e-01,2.817957e-05,8.876324e-01,5.116740e-05,8.690866e-01,2.136586e-05,1.476320e-01,2.592322e-05,8.867632e-01,4.734998e-05,7.692655e-01,4.853253e-05,2.843376e-01,8.323915e-05,8.115414e-01,1.047464e-04,7.703309e-01,4.697273e-05,2.831279e-01,7.077796e-05,8.112143e-01,7.101514e-05,7.697477e-01,4.742500e-05,2.836565e-01,6.745045e-05,8.117568e-01,9.051015e-05,7.695366e-01,5.143024e-05,2.834797e-01,7.560109e-05,8.130117e-01,7.464914e-05,7.699945e-01,4.318471e-05,2.826420e-01,6.326919e-05,8.137937e-01,7.249558e-05,7.705571e-01,4.209342e-05,2.823210e-01,5.890793e-05,8.127206e-01,7.235134e-05,7.706600e-01,6.406075e-05,2.820457e-01,1.067148e-04,8.132160e-01,1.041205e-04,0.000000e+00,0.000000e+00,2.002601e-01,1.617777e-05,2.423884e+00,2.335808e-04,8.251417e-01,7.958369e-05
4.000000e-01,0.000000e+00,0.000000e+00,1.028394e+00,1.166529e-04,7.779380e-01,8.781496e-05,0.000000e+00,0.000000e+00,5.019906e+00,7.654386e-04,6.375002e-01,9.692829e-05,7.370712e-01,3.976968e-05,3.371931e-01,7.948711e-05,7.798058e-01,9.720970e-05,7.370623e-01,3.870880e-05,3.372546e-01,7.776750e-05,7.796857e-01,8.615919e-05,7.364518e-01,3.795007e-05,3.386516e-01,6.752111e-05,7.782539e-01,6.429626e-05,5.407519e-01,8.120160e-05,7.205297e-01,2.040521e-04,6.374301e-01,8.364373e-05,5.394337e-01,7.754002e-05,7.212660e-01,2.096787e-04,6.386216e-01,1.067032e-04,5.414138e-01,8.237276e-05,7.163749e-01,1.935762e-04,6.401947e-01,7.946265e-05,5.396664e-01,8.005976e-05,7.206352e-01,2.258115e-04,6.388710e-01,1.150379e-04,5.395812e-01,9.822694e-05,7.207645e-01,2.615517e-04,6.388880e-01,1.113163e-04,5.400602e-01,8.146876e-05,7.202936e-01,2.170040e-04,6.386239e-01,1.223992e-04,5.420148e-01,9.681104e-05,7.153368e-01,2.283596e-04,6.402992e-01,8.628600e-05,0.000000e+00,0.000000e+00,4.006493e-01,2.823640e-05,6.048300e+00,7.520639e-04,6.613692e-01,8.206177e-05
6.000000e-01,0.000000e+00,0.000000e+00,1.785665e+00,2.862641e-04,6.720630e-01,1.078031e-04,2.624932e-06,1.368859e-07,1.009749e+01,2.264549e-03,4.754260e-01,1.066690e-04,6.033174e-01,5.093984e-05,5.878725e-01,1.177658e-04,6.748062e-01,6.923235e-05,6.038149e-01,5.817427e-05,5.870225e-01,1.366563e-04,6.749452e-01,7.513290e-05,6.037354e-01,5.117723e-05,5.860509e-01,1.517819e-04,6.762228e-01,9.791214e-05,3.112278e-01,1.141160e-04,1.452529e+00,4.667904e-04,4.742533e-01,8.274207e-05,3.127213e-01,1.174651e-04,1.441877e+00,5.212629e-04,4.767457e-01,1.020948e-04,3.122505e-01,8.520187e-05,1.446304e+00,4.678718e-04,4.756093e-01,1.094386e-04,3.115460e-01,1.240569e-04,1.442817e+00,5.683076e-04,4.772693e-01,1.126872e-04,3.116321e-01,7.819975e-05,1.449933e+00,3.652282e-04,4.748101e-01,8.808324e-05,3.110523e-01,1.201052e-04,1.451359e+00,5.178136e-04,4.747797e-01,1.033092e-04,3.134978e-01,1.153562e-04,1.437391e+00,4.734056e-04,4.776763e-01,9.312654e-05,2.099945e-06,1.095087e-07,6.005204e-01,4.658916e-05,1.188316e+01,2.368156e-03,5.049670e-01,1.006994e-04
8.000000e-01,1.195732e-06,8.454477e-08,2.821670e+00,4.292460e-04,5.670732e-01,8.605024e-05,8.122877e-03,2.245987e-05,2.155928e+01,6.367425e-03,2.945148e-01,9.223091e-05,4.684355e-01,3.978031e-05,9.315484e-01,1.720562e-04,5.706618e-01,8.498857e-05,4.673421e-01,5.677141e-05,9.342736e-01,1.999912e-04,5.701703e-01,7.973879e-05,4.690596e-01,6.377274e-05,9.308498e-01,2.343733e-04,5.704376e-01,9.166572e-05,9.153026e-02,9.194796e-05,3.082806e+00,9.513406e-04,2.947405e-01,6.567336e-05,9.145069e-02,8.282535e-05,3.088208e+00,9.692190e-04,2.942554e-01,7.035658e-05,9.100331e-02,8.812683e-05,3.086959e+00,9.880399e-04,2.945213e-01,7.178061e-05,9.197924e-02,6.615675e-05,3.077687e+00,8.336390e-04,2.950782e-01,6.569679e-05,9.255111e-02,8.368509e-05,3.081326e+00,1.142330e-03,2.945811e-01,8.649623e-05,9.202106e-02,8.410709e-05,3.084302e+00,1.032855e-03,2.944539e-01,7.908648e-05,9.164896e-02,8.495777e-05,3.082984e+00,9.969112e-04,2.946921e-01,7.106173e-05,6.498541e-03,1.796827e-05,7.952978e-01,4.522959e-05,2.438095e+01,6.382305e-03,3.260534e-01,9.004142e-05
1.000000e+00,1.824601e-04,1.679419e-06,4.308225e+00,8.528449e-04,4.641905e-01,9.207150e-05,1.315056e-01,6.721162e-05,3.595773e+01,3.317444e-03,1.932327e-01,3.101501e-05,3.340174e-01,7.230889e-05,1.430392e+00,3.203306e-04,4.656279e-01,6.150536e-05,3.349916e-01,9.302584e-05,1.426680e+00,3.385144e-04,4.661543e-01,5.692812e-05,3.343538e-01,7.249256e-05,1.430560e+00,3.539314e-04,4.653495e-01,7.466846e-05,4.619648e-03,1.609493e-05,5.139721e+00,5.698723e-04,1.936697e-01,1.913696e-05,4.668349e-03,1.415392e-05,5.144305e+00,4.143368e-04,1.934852e-01,1.444699e-05,4.634524e-03,1.459083e-05,5.140591e+00,5.487621e-04,1.936337e-01,1.878754e-05,4.771043e-03,1.500659e-05,5.139480e+00,5.127318e-04,1.936483e-01,1.723198e-05,4.746883e-03,1.711022e-05,5.138171e+00,5.555045e-04,1.937031e-01,1.875827e-05,4.983219e-03,1.402524e-05,5.135957e+00,5.194752e-04,1.937400e-01,1.774483e-05,4.883165e-03,1.547197e-05,5.140101e+00,4.626732e-04,1.936022e-01,1.546187e-05,1.052410e-01,5.377559e-05,8.963330e-01,2.066280e-05,4.026596e+01,3.344180e-03,2.222184e-01,2.990493e-05
1.200000e+00,3.552148e-03,7.630714e-06,6.610333e+00,1.636946e-03,3.618373e-01,9.251975e-05,2.726112e-01,7.114177e-05,3.928983e+01,9.305500e-04,1.777298e-01,2.068976e-05,2.064488e-01,7.267237e-05,2.176692e+00,5.567277e-04,3.646112e-01,6.883147e-05,2.068091e-01,6.716658e-05,2.173997e+00,5.427887e-04,3.648947e-01,6.505104e-05,2.067843e-01,7.184395e-05,2.174359e+00,5.019831e-04,3.648384e-01,5.966284e-05,2.594503e-04,1.968646e-06,5.627128e+00,1.519775e-04,1.776648e-01,4.679214e-06,2.613740e-04,2.787075e-06,5.625231e+00,1.731984e-04,1.777244e-01,5.229396e-06,2.871893e-04,1.256444e-06,5.623309e+00,1.481909e-04,1.777805e-01,4.595890e-06,2.763246e-04,1.912249e-06,5.624203e+00,1.639914e-04,1.777542e-01,5.007929e-06,2.713402e-04,1.866453e-06,5.623541e+00,1.757337e-04,1.777761e-01,5.431539e-06,2.859447e-04,2.118701e-06,5.625086e+00,1.538075e-04,1.777246e-01,4.668051e-06,3.037111e-04,1.921114e-06,5.626621e+00,1.711681e-04,1.776730e-01,5.403213e-06,2.187994e-01,5.763555e-05,9.378013e-01,1.828588e-05,4.590017e+01,1.847302e-03,2.042363e-01,2.036583e-05
1.400000e+00,2.153334e-02,1.889612e-05,9.718096e+00,1.769647e-03,2.819439e-01,5.529958e-05,3.803716e-01,6.059184e-05,4.008184e+01,5.622565e-04,1.731422e-01,1.872378e-05,1.043976e-01,6.260723e-05,3.133940e+00,6.463216e-04,2.857972e-01,4.247149e-05,1.044741e-01,5.942918e-05,3.133410e+00,5.400386e-04,2.858143e-01,3.612369e-05,1.043704e-01,4.515884e-05,3.135770e+00,4.914320e-04,2.856308e-01,3.508664e-05,3.569052e-05,5.035814e-07,5.771393e+00,8.447138e-05,1.732623e-01,2.532554e-06,3.296002e-05,4.689004e-07,5.771448e+00,8.014463e-05,1.732611e-01,2.402740e-06,2.483006e-05,3.711858e-07,5.771864e+00,6.965785e-05,1.732500e-01,2.101060e-06,2.887010e-05,3.559411e-07,5.770527e+00,8.581475e-05,1.732895e-01,2.568277e-06,4.016685e-05,5.478034e-07,5.770143e+00,1.050398e-04,1.732991e-01,3.146594e-06,3.141529e-05,5.289538e-07,5.770985e+00,7.692422e-05,1.732753e-01,2.299373e-06,3.821360e-05,5.898548e-07,5.770456e+00,9.730059e-05,1.732900e-01,2.907352e-06,3.086040e-01,4.886179e-05,9.686526e-01,1.474095e-05,4.979994e+01,1.692802e-03,1.943697e-01,1.745083e-05
1.600000e+00,6.448578e-02,2.803992e-05,1.287621e+01,1.383015e-03,2.325025e-01,3.007577e-05,4.634409e-01,3.641589e-05,4.012339e+01,3.978823e-04,1.711710e-01,1.178178e-05,4.393727e-02,1.980042e-05,4.043792e+00,3.938071e-04,2.364322e-01,2.002208e-05,4.393028e-02,3.140881e-05,4.043542e+00,4.189656e-04,2.364485e-01,1.895402e-05,4.408976e-02,2.862939e-05,4.042856e+00,4.123196e-04,2.364493e-01,1.957305e-05,5.358736e-06,1.383147e-07,5.839940e+00,4.963394e-05,1.712337e-01,1.449337e-06,7.506457e-06,2.254027e-07,5.839899e+00,4.593078e-05,1.712346e-01,1.338541e-06,4.990130e-06,1.084925e-07,5.839025e+00,5.585841e-05,1.712607e-01,1.635587e-06,7.351447e-06,2.062046e-07,5.839252e+00,5.069403e-05,1.712536e-01,1.490319e-06,5.923955e-06,1.592804e-07,5.836185e+00,4.457740e-05,1.713438e-01,1.315898e-06,5.293448e-06,1.416963e-07,5.837832e+00,4.491976e-05,1.712956e-01,1.318021e-06,6.372458e-06,2.094431e-07,5.837276e+00,4.731082e-05,1.713117e-01,1.380234e-06,3.836499e-01,3.145269e-05,9.868000e-01,6.594113e-06,5.299960e+01,1.206911e-03,1.860700e-01,1.254997e-05
1.800000e+00,1.231322e-01,4.718489e-05,1.524992e+01,1.738402e-03,2.070092e-01,3.367593e-05,5.284472e-01,3.784968e-05,3.989684e+01,5.183279e-04,1.701981e-01,1.436545e-05,1.720616e-02,2.205804e-05,4.672279e+00,4.873124e-04,2.103506e-01,1.846670e-05,1.723434e-02,2.274162e-05,4.670549e+00,4.516929e-04,2.104218e-01,1.716642e-05,1.724615e-02,2.367738e-05,4.672118e+00,4.389962e-04,2.103482e-01,1.598022e-05,1.380289e-06,5.944655e-08,5.877680e+00,4.035850e-05,1.701349e-01,1.166860e-06,1.506037e-06,6.158842e-08,5.877872e+00,3.834228e-05,1.701294e-01,1.108020e-06,1.562396e-06,5.159726e-08,5.877871e+00,3.096079e-05,1.701294e-01,8.968505e-07,1.867172e-06,6.995811e-08,5.877282e+00,3.591385e-05,1.701464e-01,1.039337e-06,1.482106e-06,5.642477e-08,5.873295e+00,4.091639e-05,1.702619e-01,1.188428e-06,9.050124e-07,3.740804e-08,5.873948e+00,3.388779e-05,1.702431e-01,9.809536e-07,1.510598e-06,5.637796e-08,5.873865e+00,3.765876e-05,1.702454e-01,1.089128e-06,4.473842e-01,3.379891e-05,9.948303e-01,5.894679e-06,5.514676e+01,1.332496e-03,1.803753e-01,1.352184e-05
2.000000e+00,1.840465e-01,4.463913e-05,1.682868e+01,1.356612e-03,1.939483e-01,2.408963e-05,5.795847e-01,3.553808e-05,3.962968e+01,8.070408e-04,1.697380e-01,1.621005e-05,6.883946e-03,9.138100e-06,5.055248e+00,2.698710e-04,1.964538e-01,9.442373e-06,6.828154e-03,1.173234e-05,5.053996e+00,2.818409e-04,1.965135e-01,9.587220e-06,6.837711e-03,1.162566e-05,5.054184e+00,2.728780e-04,1.965043e-01,9.549023e-06,4.480191e-07,1.797707e-08,5.901679e+00,2.850184e-05,1.694432e-01,8.178379e-07,1.013060e-06,3.569620e-08,5.901284e+00,2.912896e-05,1.694545e-01,8.358948e-07,2.769735e-07,2.073806e-08,5.901781e+00,2.626546e-05,1.694403e-01,7.534644e-07,5.880039e-07,2.047044e-08,5.901372e+00,2.989501e-05,1.694520e-01,8.585837e-07,8.658570e-07,5.980912e-08,5.896025e+00,2.558248e-05,1.696057e-01,7.367172e-07,2.308930e-07,1.470548e-08,5.896289e+00,3.009422e-05,1.695982e-01,8.652387e-07,6.525921e-07,4.472200e-08,5.896508e+00,3.055272e-05,1.695918e-01,8.763905e-07,5.004771e-01,2.871703e-05,9.979446e-01,2.671624e-06,5.645837e+01,7.745896e-04,1.769528e-01,1.091179e-05
